"","CÓDIGO MONTE SENDAS","Nº PARCELA","CÓDIGO ESPECIE","HD","DS1","DS2","DI1","DI2","DN1","DN2","COR1","COR2","LR1","NR","DR1","CRE1","CRE2","HT","HF","DCO1","DCO2","DN"
"434",112,456,32,NA,NA,NA,NA,NA,24,23,NA,NA,NA,NA,NA,NA,NA,7,1.3,4.2,4.2,23.5
"435",112,462,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,5,1,2.2,2.4,8
"440",112,171,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,4,1.8,2.7,2.4,9
"441",112,172,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,3,0.4,2.2,2.4,9
"442",112,178,32,NA,NA,NA,NA,NA,36,44,NA,NA,NA,NA,NA,NA,NA,10.5,2.5,6.9,6.7,40
"444",112,191,32,NA,NA,NA,NA,NA,18,17,NA,NA,NA,NA,NA,NA,NA,8,1.8,4.2,4.6,17.5
"445",112,196,32,NA,NA,NA,NA,NA,56,55,NA,NA,NA,NA,NA,NA,NA,11,4,7.6,6.6,55.5
"446",112,198,32,NA,NA,NA,NA,NA,9,8,NA,NA,NA,NA,NA,NA,NA,3,NA,2.3,2.4,8.5
"447",112,202,32,NA,NA,NA,NA,NA,19,19,NA,NA,NA,NA,NA,NA,NA,6.5,0.5,4.7,4.9,19
"448",112,209,32,NA,NA,NA,NA,NA,14,14,NA,NA,NA,NA,NA,NA,NA,4.5,1.3,7.5,7.6,14
"449",112,209,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,4.5,2.5,3.2,3.1,8
"450",112,217,32,NA,NA,NA,NA,NA,45,47,NA,NA,NA,NA,NA,NA,NA,6.5,3.5,8.3,8.1,46
"454",112,229,32,NA,NA,NA,NA,NA,18,17,NA,NA,NA,NA,NA,NA,NA,7.5,2.1,3.1,3.5,17.5
"455",112,232,32,NA,NA,NA,NA,NA,12,12,NA,NA,NA,NA,NA,NA,NA,5,NA,3.1,3,12
"456",112,232,32,NA,NA,NA,NA,NA,24,25,NA,NA,NA,NA,NA,NA,NA,4.5,0.5,5.5,6,24.5
"457",112,233,32,NA,NA,NA,NA,NA,22,21,NA,NA,NA,NA,NA,NA,NA,8,3,4.8,4.7,21.5
"458",112,235,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,3.5,0.5,1.7,2.9,9
